Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette butts,"Food wrappers (candy, chips, etc.)",Food containers (plastic),Food containers (foam),Bottle caps (plastic),Bottle caps (metal),Lids (plastic),Straws/stirrers (plastic),Utensils (plastic),Beverage bottles (plastic),Beverage bottles (glass),Beverage cans,Grocery bags (plastic),Other bags (plastic),Paper bags,"Cups, Plates (paper)","Cups, Plates (plastic)","Cups, Plates (foam)","Fishing buoys, pots & traps",Fishing net & pieces,"Lines, nets, traps, ropes, etc.",Fishing line (1 yard/meter = 1 piece),Fishing gear (Clean Swell),6-Pack holders,Other plastic/foam packaging,Foam dock pieces,"Other plastic bottles (oil, bleach, etc.)",Strapping bands,Other packaging (Clean Swell),Beverage sachets/pouches,"Appliances (refrigerators, washers, etc.)",Balloons,Cigar tips,Cigarette lighters,Tobacco packaging/wrap,"Tobacco products (lighters, cigar tips, wrap)",Foam packaging,Construction materials,Fireworks,Tires,Toys,Other trash (Clean Swell),Clothing,"Electronic waste (phones, batteries)",Condoms,Diapers,Syringes,Footwear (shoes/slippers),Tampons & applicators,Personal hygiene (Clean Swell),Gloves & masks (PPE),Foam pieces,Glass pieces,Plastic pieces,Plastic/foam pieces,Other plastic waste,Cotton bud sticks (swabs),Total Items Collected
251872,"San Mateo County, CA, USA","California, USA",United States,"37.5866517, -122.4917886",beach,11/15/2022,PACIFIC BEACH COALITION TN APES,1,0,1,0.69,0.0,0,0,6,0,1,4,2,0,3,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
251875,"San Mateo County, CA, USA","California, USA",United States,"37.5868232, -122.472398",beach,11/15/2022,Step Up,1,0,1,1.035,0.0,0,7,20,1,0,0,0,0,0,3,5,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
251391,"San Mateo County, CA, USA","California, USA",United States,"37.587741317521, -122.48640704102",beach,11/10/2022,pacifica beach coalition TN APES,2,0,2,8.4,1.2,0,16,9,0,0,1,0,1,0,5,4,2,1,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,5,6,1,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,18,6,1,106
251510,"San Mateo County, CA, USA","California, USA",United States,"37.5878975, -122.4784096",beach,11/12/2022,,2,0,2,0.9,0.0,0,1,20,1,0,0,2,0,1,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
251860,"San Mateo County, CA, USA","California, USA",United States,"37.5884159, -122.4939937",beach,11/15/2022,aine,1,0,1,1.768,0.0,0,0,8,0,0,3,0,2,1,2,0,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28
251371,"San Mateo County, CA, USA","California, USA",United States,"37.588842005458, -122.46829925425",beach,11/9/2022,PBC,1,0,1,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252799,"San Mateo County, CA, USA","California, USA",United States,"37.592733428042, -122.47864537241",beach,11/28/2022,pacifica beach coalition,1,0,1,1.449,0.0,0,52,2,0,0,0,1,1,0,1,1,0,8,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79
251141,"San Mateo County, CA, USA","California, USA",United States,"37.593620601172, -122.48796365082",beach,11/6/2022,,2,0,2,22.838,0.0,0,0,0,0,0,0,0,0,0,0,12,42,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
251143,"San Mateo County, CA, USA","California, USA",United States,"37.593620601172, -122.48796365082",beach,11/6/2022,,2,0,2,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251916,"San Mateo County, CA, USA","California, USA",United States,"37.594572823071, -122.47583258161",beach,11/16/2022,,1,0,1,3.628,0.915429,0,0,37,0,0,2,0,3,4,16,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,100
251869,"San Mateo County, CA, USA","California, USA",United States,"37.594691426527, -122.47663644804",beach,11/15/2022,,2,0,2,275.502,4.44513,0,8,4,1,0,1,0,0,4,1,0,0,0,2,12,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,38,0,112
250840,"San Mateo County, CA, USA","California, USA",United States,"37.595072858543, -122.50637344063",underwater,11/3/2022,beach bums,2,0,2,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
