"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
257732,"San Mateo County, CA, USA","California, USA","United States","37.636971267961, -122.48912789446",land,,2023-01-18,"Pacific Beach Coalition - Terri Brown",1,,1,57.691,0,,3,25,2,6,7,3,5,4,,2,2,6,,4,24,5,7,4,,,,14,,,3,2,4,2,9,,2,,,13,,,88,,2,,4,,,18,,,,,,,,,,,,,,,,,,270
257733,"San Mateo County, CA, USA","California, USA","United States","37.588887445834, -122.46831661615",land,,2023-01-18,PBC,1,,1,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257734,"Los Angeles County, CA, USA","California, USA","United States","34.107566690469, -117.72932113645",land,,2023-01-19,"Molly Loves Trash",1,,1,0.016,0.0098307503866683,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
257758,"San Mateo County, CA, USA","California, USA","United States","37.656740913153, -122.37707777807",land,,2023-01-19,"Genentech Green Genes Coastal Cleanup",20,,20,390.761,0,,24,14,23,22,23,30,18,35,33,,24,,41,34,31,18,21,13,30,36,,10,3,17,35,30,18,,5,,,19,15,10,3,5,24,,,,,,,59,,,,,,,,,,,,,,,,,,723
257760,"Monterey County, CA, USA","California, USA","United States","36.586744361591, -121.86796811421",land,,2023-01-19,"carolyn alone at sunrise",1,,1,14.312,0,,,1,,,,,7,,5,,,,,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,228
257761,"San Mateo County, CA, USA","California, USA","United States","37.648397130393, -122.48724073448",land,,2023-01-19,"Pacific Beach Coalition - Terri Brown",1,,1,1.891,0,,1,3,,,3,,,,300,,3,,,,7,2,2,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,332
257762,"Mendocino County, CA, USA","California, USA","United States","39.33351196, -123.81017956",land,,2023-01-19,"Noyo Center for Marine Science",2,,2,19.648,0,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,51
257763,"Mendocino County, CA, USA","California, USA","United States","39.5613267, -123.7667021",land,,2023-01-19,"Noyo Center for Marine Science",2,,2,60,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257764,"San Luis Obispo County, CA, USA","California, USA","United States","35.136147006715, -120.64056629",land,,2023-01-19,seth,1,,1,23.865,0,,,3,6,5,,2,3,100,9,,2,1,1,1,16,6,5,1,1,,,3,,,1,1,1,,,,,1,,1,7,,,,,,,,,38,,,,,,,,,,,,,,,,,,215
257765,"Mendocino County, CA, USA","California, USA","United States","39.1267616, -123.7178921",land,,2023-01-20,"Noyo Center for Marine Science",1,,1,10.537,0,,,,,,,,,1,,,,,,,2,,,,1,,,1,,,5,,,,,,,,,,,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,15
257783,"San Mateo County, CA, USA","California, USA","United States","37.58886206088, -122.46832681436",land,,2023-01-20,PBC,1,,1,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257794,"Sonoma County, CA, USA","California, USA","United States","38.3120615, -123.0520385",land,,2023-01-20,,1,,1,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257795,"Sonoma County, CA, USA","California, USA","United States","38.3120615, -123.0520385",land,,2023-01-20,,1,,1,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257796,"Sonoma County, CA, USA","California, USA","United States","38.3818001, -123.0817291",land,,2023-01-20,,1,,1,30,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257797,"Sonoma County, CA, USA","California, USA","United States","38.3818001, -123.0817291",land,,2023-01-20,,1,,1,30,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
